cut-off,Population,Prevalence,"Prevalent 
cases",Sens,Spec,CAD pos,PPV,YI,TP,FN,FP,TN,Missed cases,% of missed,Total cost for confirmatory test,Cost per case,"Extra cost 
due to over dx"
25,,,,96.80%,47.30%,67.40%,47.90%,0.44,9950,334,26556,4860,334,3.20%,"$730,121 ",$73 ,"$531,130 "
26,,,,96.60%,47.90%,67%,48.20%,0.445,9933,351,26309,4927,351,3.40%,"$724,830 ",$73 ,"$526,173 "
27,,,,96.40%,48.70%,66.40%,48.60%,0.452,9919,365,26012,5009,365,3.60%,"$718,615 ",$72 ,"$520,245 "
28,,,,96.40%,49.60%,65.80%,49%,0.46,9914,370,25702,5096,370,3.60%,"$712,317 ",$72 ,"$514,042 "
29,,,,96.40%,50.10%,65.40%,49.20%,0.465,9909,375,25493,5155,375,3.60%,"$708,034 ",$71 ,"$509,855 "
30,,,,96.10%,50.70%,64.90%,49.50%,0.468,9883,401,25259,5216,401,3.90%,"$702,827 ",$71 ,"$505,173 "
31,,,,95.90%,51.40%,64.40%,49.80%,0.473,9861,423,24982,5290,423,4.10%,"$696,865 ",$71 ,"$499,640 "
32,,,,95.80%,52%,64%,50%,0.477,9849,434,24788,5343,434,4.20%,"$692,750 ",$70 ,"$495,764 "
33,,,,95.50%,52.60%,63.50%,50.30%,0.481,9825,458,24543,5408,458,4.50%,"$687,375 ",$70 ,"$490,866 "
34,,,,95.40%,53.20%,63%,50.60%,0.487,9813,470,24299,5475,470,4.60%,"$682,252 ",$70 ,"$485,982 "
35,,,,95.20%,53.70%,62.70%,50.80%,0.489,9794,489,24117,5523,489,4.80%,"$678,221 ",$69 ,"$482,333 "
36,,,,95.10%,54.30%,62.20%,51.10%,0.494,9782,501,23889,5585,501,4.90%,"$673,434 ",$69 ,"$477,785 "
37,,,,95%,54.90%,61.80%,51.40%,0.499,9768,516,23660,5648,516,5%,"$668,563 ",$68 ,"$473,201 "
38,,,,94.90%,55.50%,61.40%,51.70%,0.504,9761,523,23449,5706,523,5.10%,"$664,196 ",$68 ,"$468,977 "
39,,,,94.70%,56%,60.90%,52%,0.507,9739,544,23235,5763,544,5.30%,"$659,494 ",$68 ,"$464,704 "
40,,,,94.70%,56.60%,60.60%,52.20%,0.512,9737,547,23044,5817,547,5.30%,"$655,631 ",$67 ,"$460,889 "
41,,,,94.50%,56.90%,60.30%,52.40%,0.515,9723,561,22899,5855,561,5.50%,"$652,439 ",$67 ,"$457,984 "
42,,,,94.50%,57.40%,59.90%,52.70%,0.519,9713,571,22716,5905,571,5.50%,"$648,576 ",$67 ,"$454,312 "
43,,,,94.30%,57.90%,59.50%,52.90%,0.522,9694,590,22525,5956,590,5.70%,"$644,377 ",$66 ,"$450,495 "
44,,,,94.20%,58.50%,59.10%,53.20%,0.526,9682,602,22310,6014,602,5.80%,"$639,842 ",$66 ,"$446,198 "
45,,,,94%,58.90%,58.70%,53.50%,0.529,9665,618,22129,6062,618,6%,"$635,895 ",$66 ,"$442,586 "
46,,,,93.80%,59.50%,58.30%,53.80%,0.533,9651,633,21929,6116,633,6.20%,"$631,612 ",$65 ,"$438,589 "
47,,,,93.50%,59.90%,58%,53.90%,0.534,9620,664,21755,6159,664,6.50%,"$627,497 ",$65 ,"$435,095 "
48,,,,93.40%,60.30%,57.60%,54.10%,0.537,9603,680,21599,6200,680,6.60%,"$624,054 ",$65 ,"$431,986 "
49,,,,93.20%,60.80%,57.20%,54.40%,0.539,9580,704,21401,6251,704,6.80%,"$619,603 ",$65 ,"$428,012 "
50,,,,93%,61.20%,56.90%,54.60%,0.542,9568,716,21240,6295,716,7%,"$616,160 ",$64 ,"$424,808 "
51,,,,92.80%,61.70%,56.50%,54.90%,0.546,9546,738,21031,6350,738,7.20%,"$611,541 ",$64 ,"$420,619 "
52,,,,92.60%,62.20%,56.10%,55.20%,0.548,9520,764,20835,6400,764,7.40%,"$607,090 ",$64 ,"$416,693 "
53,,,,92.30%,62.70%,55.70%,55.40%,0.55,9494,790,20638,6450,790,7.70%,"$602,639 ",$63 ,"$412,767 "
54,,,,92.20%,63.20%,55.30%,55.70%,0.555,9484,800,20446,6503,800,7.80%,"$598,608 ",$63 ,"$408,927 "
55,,,,92%,63.70%,54.90%,56%,0.557,9465,819,20268,6550,819,8%,"$594,661 ",$63 ,"$405,362 "
56,,,,91.90%,64.20%,54.50%,56.30%,0.561,9446,838,20056,6606,838,8.10%,"$590,042 ",$62 ,"$401,125 "
57,,,,91.60%,64.70%,54.10%,56.50%,0.562,9415,869,19873,6652,869,8.40%,"$585,759 ",$62 ,"$397,463 "
58,,,,91.30%,65.30%,53.60%,56.90%,0.566,9389,895,19631,6715,895,8.70%,"$580,385 ",$62 ,"$392,613 "
59,,,,90.90%,65.80%,53.20%,57.10%,0.567,9348,936,19436,6762,936,9.10%,"$575,682 ",$62 ,"$388,722 "
60,,,,90.60%,66.20%,52.80%,57.40%,0.568,9312,972,19241,6810,972,9.40%,"$571,063 ",$61 ,"$384,819 "
61,,,,90.30%,66.80%,52.30%,57.70%,0.571,9291,993,19023,6867,993,9.70%,"$566,276 ",$61 ,"$380,462 "
62,,,,89.80%,67.40%,51.70%,58%,0.572,9236,1048,18759,6931,1048,10.20%,"$559,894 ",$61 ,"$375,178 "
63,,,,89.60%,67.90%,51.30%,58.30%,0.575,9212,1072,18560,6982,1072,10.40%,"$555,443 ",$60 ,"$371,204 "
64,,,,89.40%,68.40%,50.90%,58.70%,0.578,9198,1086,18373,7033,1086,10.60%,"$551,412 ",$60 ,"$367,459 "
65,,,,89.20%,68.90%,50.50%,59%,0.581,9169,1115,18150,7090,1115,10.80%,"$546,373 ",$60 ,"$362,994 "
66,,,,88.50%,69.60%,49.80%,59.40%,0.581,9105,1179,17866,7157,1179,11.50%,"$539,402 ",$59 ,"$357,312 "
67,,,,88.20%,70.20%,49.30%,59.80%,0.584,9073,1210,17624,7220,1210,11.80%,"$533,944 ",$59 ,"$352,474 "
68,,,,87.80%,70.60%,48.90%,60%,0.584,9028,1256,17459,7257,1256,12.20%,"$529,745 ",$59 ,"$349,182 "
69,,,,87.40%,71.20%,48.40%,60.30%,0.586,8988,1296,17214,7318,1296,12.60%,"$524,034 ",$58 ,"$344,283 "
70,,,,87%,71.80%,47.80%,60.80%,0.588,8945,1339,16946,7385,1339,13%,"$517,820 ",$58 ,"$338,928 "
71,,,,86.60%,72.40%,47.30%,61.20%,0.59,8902,1382,16691,7449,1382,13.40%,"$511,857 ",$58 ,"$333,825 "
72,,,,86.20%,73%,46.80%,61.60%,0.593,8866,1418,16442,7512,1418,13.80%,"$506,146 ",$57 ,"$328,831 "
73,,,,85.80%,73.70%,46.20%,62.10%,0.595,8820,1463,16172,7579,1463,14.20%,"$499,848 ",$57 ,"$323,439 "
74,,,,85.20%,74.40%,45.50%,62.50%,0.595,8758,1525,15890,7646,1525,14.80%,"$492,962 ",$56 ,"$317,794 "
75,,,,84.30%,75.10%,44.80%,62.90%,0.594,8670,1614,15562,7721,1614,15.70%,"$484,648 ",$56 ,"$311,247 "
76,,,,83.70%,75.50%,44.30%,63.20%,0.593,8610,1673,15349,7769,1673,16.30%,"$479,189 ",$56 ,"$306,981 "
77,,,,82.80%,76.30%,43.40%,63.70%,0.591,8515,1769,14991,7850,1769,17.20%,"$470,119 ",$55 ,"$299,821 "
78,,,,82.10%,77.10%,42.60%,64.30%,0.592,8438,1845,14643,7933,1845,17.90%,"$461,637 ",$55 ,"$292,867 "
79,,,,81.20%,77.80%,41.90%,64.80%,0.59,8348,1936,14318,8006,1936,18.80%,"$453,323 ",$54 ,"$286,367 "
80,,,,80.30%,78.60%,41.10%,65.30%,0.589,8257,2027,13989,8080,2027,19.70%,"$444,925 ",$54 ,"$279,784 "
81,,,,78.80%,79.50%,40%,65.90%,0.583,8107,2177,13548,8174,2177,21.20%,"$433,084 ",$53 ,"$270,950 "
82,,,,77.80%,80.30%,39.10%,66.50%,0.581,7997,2287,13170,8257,2287,22.20%,"$423,342 ",$53 ,"$263,405 "
83,,,,76.30%,81.20%,38%,67.10%,0.575,7846,2437,12720,8353,2437,23.70%,"$411,333 ",$52 ,"$254,403 "
84,,,,75%,82.10%,37%,67.80%,0.571,7710,2573,12306,8442,2573,25%,"$400,332 ",$52 ,"$246,123 "
85,,,,72.80%,83.10%,35.60%,68.40%,0.559,7491,2793,11778,8545,2793,27.20%,"$385,383 ",$51 ,"$235,567 "
86,,,,70.70%,84.20%,34.10%,69.20%,0.55,7274,3010,11202,8662,3010,29.30%,"$369,511 ",$51 ,"$224,040 "
87,,,,68.60%,85.60%,32.50%,70.50%,0.542,7054,3230,10544,8803,3230,31.40%,"$351,959 ",$50 ,"$210,880 "
88,,,,65.50%,87.20%,30.40%,71.90%,0.527,6739,3545,9742,8963,3545,34.50%,"$329,621 ",$49 ,"$194,844 "
89,,,,62%,88.60%,28.30%,73.20%,0.506,6371,3913,8942,9112,3913,38%,"$306,274 ",$48 ,"$178,850 "
90,,,,57.90%,90.10%,25.90%,74.60%,0.481,5958,4325,8083,9268,4325,42.10%,"$280,829 ",$47 ,"$161,663 "
91,,,,53.10%,91.90%,23.20%,76.60%,0.449,5459,4824,7079,9446,4824,46.90%,"$250,764 ",$46 ,"$141,577 "
92,,,,46.90%,93.70%,19.90%,78.80%,0.405,4820,5464,5942,9632,5464,53.10%,"$215,240 ",$45 ,"$118,848 "
93,,,,39.70%,95.50%,16.30%,81.50%,0.352,4082,6202,4727,9819,6202,60.30%,"$176,190 ",$43 ,"$94,550 "
94,,,,30.50%,97.10%,12.10%,84.10%,0.276,3139,7145,3424,9987,7145,69.50%,"$131,260 ",$42 ,"$68,479 "
95,,,,19.90%,98.50%,7.60%,87.30%,0.184,2046,8238,2078,10134,8238,80.10%,"$82,468 ",$40 ,"$41,553 "
96,,,,9.60%,99.50%,3.60%,90%,0.091,986,9298,941,10229,9298,90.40%,"$38,547 ",$39 ,"$18,829 "
97,,,,2.30%,99.90%,0.80%,90.80%,0.022,236,10047,221,10272,10047,97.70%,"$9,154 ",$39 ,"$4,427 "
98,,,,0.10%,99.90%,0%,33.30%,0,12,10272,9,10272,10272,99.90%,$420 ,$35 ,$181 
