ValidedTID,Check
2010100127-7,
2010100128-5,
2010100129-3,
2010100130-1,
2010100133-5,
2010100134-3,
2010100135-0,
2010100136-8,
2010100137-6,
2010100138-4,
2010100140-0,
2010100141-8,
2010100142-6,
2010100143-4,
2010100144-2,
2010100145-9,
2010100146-7,
2010100147-5,
2010100148-3,
2010100149-1,
2010100150-9,
2010100151-7,
2010100152-5,
2010100153-3,
2010100155-8,
2010100156-6,
2010100157-4,
2010100158-2,
2010100160-8,
2010100161-6,
2010100162-4,
2010100163-2,
2010100164-0,
2010100165-7,
2010100166-5,
2010100167-3,
2010100168-1,
2010100169-9,
2010100170-7,
2010100171-5,
2010100172-3,
2010100173-1,
2010100174-9,
2010100175-6,
2010100176-4,
2010100177-2,
2010100178-0,
2010100180-6,
2010100181-4,
2010100182-2,
2010100183-0,
2010100184-8,
2010100185-5,
2010100186-3,
2010100187-1,
2010100188-9,
2010100189-7,
2010100190-5,
2010100191-3,
2010100192-1,
2010100193-9,
2010100194-7,
2010100195-4,
2010100196-2,
2010100197-0,
2010100198-8,
2010100199-6,
2010100201-0,
2010100202-8,
2010100203-6,
2010100204-4,
2010100205-1,
2010100206-9,
2010100207-7,
2010100208-5,
2010100209-3,
20101002-1,
2010100210-1,
2010100211-9,
2010100212-7,
2010100213-5,
2010100214-3,
2010100215-0,
2010100216-8,
2010100217-6,
2010100218-4,
2010100220-0,
2010100221-8,
2010100222-6,
2010100223-4,
2010100224-2,
2010100226-7,
2010100227-5,
2010100228-3,
2010100229-1,
2010100230-9,
2010100231-7,
2010100232-5,
2010100233-3,
2010100234-1,
2010100235-8,
2010100236-6,
2010100237-4,
2010100238-2,
2010100239-0,
2010100240-8,
2010100241-6,
2010100242-4,
2010100245-7,
2010100246-5,
2010100247-3,
2010100248-1,
2010100249-9,
2010100251-5,
2010100252-3,
2010100253-1,
2010100255-6,
2010100256-4,
2010100257-2,
2010100258-0,
2010100259-8,
2010100260-6,
2010100261-4,
2010100262-2,
2010100263-0,
2010100264-8,
2010100266-3,
2010100267-1,
2010100269-7,
2010100271-3,
2010100272-1,
2010100273-9,
2010100274-7,
2010100275-4,
2010100276-2,
2010100277-0,
2010100278-8,
2010100279-6,
2010100281-2,
2010100282-0,
2010100283-8,
2010100284-6,
2010100285-3,
2010100286-1,
2010100287-9,
2010100288-7,
2010100289-5,
2010100290-3,
2010100291-1,
2010100292-9,
2010100293-7,
2010100294-5,
2010100295-2,
2010100296-0,
2010100297-8,
2010100298-6,
2010100299-4,
2010100300-0,
2010100301-8,
2010100302-6,
2010100303-4,
2010100304-2,
2010100305-9,
2010100306-7,
2010100307-5,
2010100308-3,
2010100309-1,
2010100310-9,
2010100311-7,
2010100312-5,
2010100313-3,
2010100314-1,
2010100316-6,
2010100317-4,
2010100318-2,
2010100319-0,
2010100320-8,
2010100321-6,
2010100323-2,
2010100324-0,
2010100325-7,
2010100326-5,
2010100327-3,
2010100328-1,
2010100330-7,
2010100331-5,
2010100332-3,
2010100333-1,
2010100334-9,
2010100335-6,
2010100336-4,
2010100337-2,
2010100338-0,
2010100339-8,
2010100340-6,
2010100341-4,
2010100342-2,
2010100343-0,
2010100344-8,
2010100346-3,
2010100347-1,
2010100348-9,
2010100349-7,
2010100350-5,
2010100351-3,
2010100352-1,
2010100354-7,
2010100355-4,
2010100356-2,
2010100357-0,
2010100358-8,
2010100359-6,
2010100360-4,
2010100361-2,
2010100363-8,
2010100364-6,
2010100365-3,
2010100366-1,
2010100367-9,
2010100368-7,
2010100369-5,
2010100370-3,
2010100371-1,
2010100372-9,
2010100373-7,
2010100374-4,
2010100375-2,
2010100376-0,
2010100377-8,
2010100378-6,
2010100379-4,
2010100380-2,
2010100381-0,
2010100382-8,
2010100383-6,
2010100384-4,
2010100385-1,
2010100386-9,
2010100387-7,
2010100388-5,
2010100389-3,
2010100390-1,
2010100391-9,
2010100392-7,
2010100393-5,
2010100394-3,
2010100395-0,
2010100396-8,
2010100397-6,
2010100398-4,
2010100399-2,
2010100400-8,
2010100401-6,
2010100402-4,
2010100403-2,
2010100404-0,
2010100405-7,
2010100406-5,
2010100407-3,
2010100408-1,
2010100409-9,
2010100410-7,
2010100411-5,
2010100412-3,
2010100413-1,
2010100414-9,
2010100415-6,
2010100416-4,
2010100417-2,
2010100419-8,
2010100421-4,
2010100422-2,
2010100424-8,
2010100426-3,
2010100427-1,
2010100428-9,
2010100429-7,
2010100430-5,
2010100431-3,
2010100432-1,
2010100433-9,
2010100434-7,
2010100435-4,
2010100436-2,
2010100437-0,
2010100438-8,
2010100439-6,
2010100440-4,
2010100441-2,
2010100442-0,
2010100443-8,
2010100444-6,
2010100445-3,
2010100446-1,
2010100447-9,
2010100451-1,
2010100452-9,
2010100453-7,
2010100454-5,
2010100455-2,
2010100456-0,
2010100457-8,
2010100458-6,
2010100459-4,
2010100461-0,
2010100463-6,
2010100464-4,
2010100465-1,
2010100466-9,
2010100467-7,
2010100468-5,
2010100469-3,
2010100470-1,
20101004711-8,
2010100471-9,
2010100472-7,
2010100474-3,
2010100475-0,
2010100476-8,
2010100477-6,
2010100478-4,
2010100479-2,
2010100480-0,
2010100481-8,
2010100482-6,
2010100483-4,
2010100484-2,
2010100485-9,
2010100486-7,
2010100487-5,
2010100488-3,
2010100489-1,
2010100491-7,
2010100492-5,
2010100493-3,
2010100494-1,
2010100495-8,
2010100496-6,
2010100497-4,
2010100498-2,
2010100499-0,
2010100500-5,
2010100501-3,
2010100502-1,
2010100504-7,
2010100505-4,
2010100507-0,
2010100508-8,
2010100509-6,
2010100512-0,
2010100513-8,
2010100514-6,
2010100515-3,
2010100516-1,
2010100517-9,
2010100519-5,
2010100520-3,
2010100521-1,
2010100522-9,
2010100523-7,
2010100524-5,
2010100525-2,
2010100526-0,
2010100527-8,
2010100528-6,
2010100529-4,
2010100530-2,
2010100531-0,
2010100532-8,
2010100533-6,
2010100534-4,
2010100535-1,
2010100536-9,
2010100537-7,
2010100538-5,
2010100539-3,
2010100540-1,
2010100541-9,
2010100542-7,
2010100543-5,
2010100544-3,
2010100545-0,
2010100546-8,
2010100547-6,
2010100548-4,
2010100549-2,
2010100550-0,
2010100551-8,
2010100552-6,
2010100553-4,
2010100555-9,
2010100556-7,
2010100557-5,
2010100558-3,
2010100560-9,
2010100561-7,
2010100562-5,
2010100563-3,
2010100564-1,
2010100565-8,
2010100566-6,
2010100567-4,
2010100568-2,
2010100569-0,
2010100570-8,
2010100571-6,
2010100572-4,
2010100573-2,
2010100575-7,
2010100576-5,
2010100577-24,
2010100578-1,
2010100579-9,
2010100580-7,
2010100581-5,
2010100582-3,
2010100583-1,
2010100585-6,
2010100586-4,
2010100587-2,
2010100588-0,
2010100589-8,
2010100590-6,
2010100591-4,
2010100592-2,
2010100593-0,
2010100594-8,
2010100595-5,
2010100597-1,
2010100598-9,
2010100599-7,
2010100600-3,
2010100601-1,
2010100602-9,
2010100603-7,
2010100604-5,
2010100606-0,
2010100607-8,
2010100608-6,
2010100609-4,
2010100610-2,
2010100612-8,
2010100613-6,
2010100614-4,
2010100615-1,
2010100616-9,
2010100617-7,
2010100618-5,
2010100620-1,
2010100621-9,
2010100622-7,
2010100623-5,
2010100624-3,
2010100625-0,
2010100626-8,
2010100627-6,
2010100628-4,
2010100629-2,
2010100630-0,
2010100631-8,
2010100632-6,
2010100635-9,
2010100636-7,
2010100637-5,
2010100638-3,
2010100639-1,
2010100640-9,
2010100641-7,
2010100642-5,
2010100643-3,
2010100644-1,
2010100645-8,
2010100646-6,
2010100647-4,
2010100648-2,
2010100649-0,
2010100650-8,
2010100651-6,
2010100652-4,
2010100653-2,
2010100654-0,
2010100655-7,
2010100656-5,
2010100657-3,
2010100658-1,
2010100659-9,
2010100660-7,
2010100661-5,
2010100662-3,
2010100663-1,
20101006634-2,
2010100664-9,
2010100665-6,
2010100666-4,
2010100667-2,
2010100668-0,
2010100669-8,
2010100670-6,
2010100671-4,
2010100672-2,
2010100673-0,
2010100674-8,
2010100675-5,
2010100676-3,
2010100677-1,
2010100678-9,
2010100679-7,
2010100680-5,
2010100681-3,
2010100682-1,
2010100683-9,
2010100684-7,
2010100686-2,
2010100688-8,
2010100689-6,
2010100690-4,
2010100691-2,
2010100692-0,
2010100693-8,
2010100694-6,
2010100695-3,
2010100696-1,
2010100697-9,
2010100698-7,
2010100699-5,
2010100700-1,
2010100701-9,
2010100702-7,
2010100703-5,
2010100704-3,
2010100706-8,
2010100707-6,
2010100708-4,
2010100709-2,
2010100710-0,
2010100712-6,
2010100713-4,
2010100714-2,
2010100715-9,
2010100717-5,
2010100718-3,
2010100719-1,
2010100720-9,
2010100721-7,
2010100722-5,
2010100723-3,
2010100724-1,
2010100725-8,
2010100726-6,
2010100727-4,
2010100728-2,
2010100729-0,
2010100730-8,
2010100731-6,
2010100732-4,
2010100733-2,
2010100734-0,
2010100735-7,
2010100736-5,
2010100738-1,
2010100739-9,
2010100740-7,
2010100741-5,
2010100742-3,
2010100743-1,
2010100745-6,
2010100746-4,
2010100747-2,
2010100748-0,
2010100749-8,
2010100750-6,
2010100751-4,
2010100752-2,
2010100753-0,
2010100754-8,
2010100755-5,
2010100756-3,
2010100756-4,
2010100757-1,
2010100758-9,
2010100759-7,
2010100760-5,
2010100761-3,
2010100762-1,
2010100763-9,
2010100764-7,
2010100766-2,
2010100767-0,
2010100768-8,
2010100769-6,
2010100770-4,
2010100771-2,
2010100772-0,
2010100773-8,
2010100774-6,
2010100775-3,
2010100776-1,
2010100777-9,
2010100778-7,
2010100779-5,
2010100780-3,
2010100781-1,
2010100782-9,
2010100783-7,
2010100784-5,
2010100785-2,
2010100786-0,
2010100787-8,
2010100788-6,
2010100790-2,
2010100792-8,
2010100793-6,
2010100794-4,
2010100795-1,
2010100796-9,
2010100798-5,
2010100799-2,
2010100800-9,
2010100802-5,
2010100803-3,
2010100804-1,
2010100805-8,
2010100806-6,
2010100807-4,
2010100808-2,
2010100809-0,
2010100810-8,
2010100811-6,
2010100812-4,
2010100813-2,
2010100814-0,
2010100815-7,
2010100816-5,
2010100817-3,
2010100818-1,
2010100819-9,
2010100820-7,
2010100821-5,
2010100822-3,
2010100823-1,
2010100824-9,
2010100825-6,
2010100826-4,
2010100827-2,
2010100828-0,
2010100829-8,
2010100830-6,
2010100831-4,
2010100832-2,
2010100833-0,
2010100834-8,
2010100835-5,
2010100836-3,
2010100837-1,
2010100838-9,
2010100839-7,
2010100840-5,
2010100841-3,
2010100842-1,
2010100843-9,
2010100844-7,
2010100845-4,
2010100846-2,
2010100847-0,
2010100848-8,
2010100849-6,
2010100850-4,
2010100851-2,
2010100852-0,
2010100853-8,
2010100854-6,
2010100855-3,
2010100856-1,
2010100857-9,
2010100858-7,
2010100859-5,
2010100860-6,
2010100861-1,
2010100862-9,
2010100863-7,
2010100864-5,
2010100865-2,
2010100866-0,
2010100867-8,
2010100868-6,
2010100869-4,
2010100870-2,
2010100871-0,
2010100872-8,
2010100873-6,
2010100874-4,
2010100876-9,
2010100877-7,
2010100878-5,
2010100879-3,
2010100880-1,
2010100881-9,
2010100882-7,
2010100883-5,
2010100885-0,
2010100886-8,
2010100887-6,
2010100888-4,
2010100889-2,
2010100890-0,
2010100891-8,
2010100892-6,
2010100893-4,
2010100894-2,
2010100895-9,
2010100896-7,
2010100897-5,
2010100898-3,
2010100899-1,
2010100900-7,
2010100901-5,
2010100902-3,
2010100903-1,
2010100904-6,
2010100905-6,
2010100906-4,
2010100907-2,
2010100908-0,
2010100909-8,
2010100910-6,
2010100911-4,
2010100912-2,
2010100913-0,
2010100914-8,
2010100916-3,
2010100917-1,
2010100918-9,
2010100919-7,
2010100920-5,
2010100921-3,
2010100923-9,
2010100924-7,
2010100925-4,
2010100926-2,
2010100927-0,
2010100928-8,
2010100929-6,
2010100930-4,
2010100931-2,
2010100932-0,
2010100933-8,
2010100934-6,
2010100935-3,
2010100936-1,
2010100937-9,
2010100938-7,
2010100939-5,
2010100940-3,
2010100941-1,
2010100942-9,
2010100943-7,
2010100944-5,
2010100945-2,
2010100946-0,
2010100947-8,
2010100948-6,
2010100949-4,
2010100950-2,
2010100951-0,
2010100952-8,
2010100953-6,
2010100954-4,
2010100955-1,
2010100956-9,
2010100957-7,
2010100958-5,
2010100959-3,
2010100960-1,
2010100961-9,
2010100962-7,
2010100963-5,
2010100964-3,
2010100965-0,
2010100966-8,
2010100967-6,
2010100968-4,
2010100969-2,
2010100970-0,
2010100971-8,
2010100972-6,
2010100973-4,
2010100974-2,
2010100975-9,
2010100976-7,
2010100977-5,
2010100979-1,
2010100980-9,
2010100981-7,
2010100982-5,
2010100983-3,
2010100984-1,
2010100985-8,
2010100986-6,
2010100987-4,
2010100988-2,
2010100989-0,
2010100990-8,
2010100991-6,
2010100993-2,
2010100994-0,
2010100995-7,
2010100996-5,
2010100997-3,
2010100998-1,
2010100999-9,
2010101001-3,
2010101003-9,
2010101004-7,
2010101005-4,
2010101006-2,
2010101007-0,
2010101008-8,
2010101009-6,
2010101010-4,
2010101011-2,
2010101012-0,
2010101013-8,
2010101014-6,
2010101015-3,
2010101017-9,
2010101018-7,
2010101019-5,
2010101020-3,
2010101021-1,
2010101022-9,
2010101024-5,
2010101025-2,
2010101026-0,
2010101027-8,
2010101028-6,
2010101030-2,
2010101031-0,
2010101033-6,
2010101034-4,
2010101035-1,
2010101036-9,
2010101037-7,
2010101038-5,
2010101039-3,
20101010399-6,
2010101040-1,
2010101041-9,
2010101042-7,
2010101043-5,
2010101044-3,
2010101045-0,
2010101046-8,
2010101048-4,
2010101049-2,
2010101050-0,
2010101051-8,
2010101052-6,
2010101053-4,
2010101055-9,
2010101056-7,
2010101057-5,
2010101058-3,
2010101059-1,
2010101060-9,
2010101061-7,
2010101062-5,
2010101064-1,
2010101065-8,
2010101066-6,
2010101067-4,
2010101068-2,
2010101069-0,
2010101070-8,
2010101071-6,
2010101072-4,
2010101073-2,
201010107323-5.DC,
2010101075-7,
2010101076-5,
2010101077-3,
2010101078-1,
2010101079-9,
2010101080-7,
2010101082-3,
2010101083-1,
2010101084-9,
2010101085-6,
2010101086-4,
2010101087-2,
2010101088-0,
2010101089-8,
2010101090-6,
2010101091-4,
2010101092-2,
2010101093-0,
2010101094-8,
2010101095-5,
2010101096-3,
2010101097-1,
2010101098-9,
2010101099-7,
2010101100-3,
2010101102-9,
2010101103-7,
2010101104-5,
2010101105-2,
2010101106-0,
2010101107-8,
2010101109-4,
2010101110-2,
2010101111-0,
2010101112-8,
2010101113-6,
2010101114-4,
2010101115-1,
2010101116-9,
2010101118-5,
2010101119-3,
2010101120-1,
2010101121-9,
2010101122-7,
2010101123-5,
2010101124-3,
2010101125-0,
2010101126-8,
2010101127-6,
2010101128-4,
2010101129-2,
2010101130-0,
2010101131-8,
2010101132-6,
2010101133-4,
2010101134-2,
2010101135-9,
2010101136-7,
2010101137-5,
2010101138-3,
2010101139-1,
2010101140-9,
2010101141-7,
2010101142-5,
2010101143-3,
2010101144-1,
2010101145-8,
2010101146-6,
2010101147-4,
2010101148-2,
2010101149-0,
2010101150-8,
2010101151-6,
2010101152-4,
2010101153-2,
2010101154-0,
2010101155-7,
2010101156-5,
2010101157-3,
2010101158-1,
2010101159-9,
2010101160-7,
2010101161-5,
2010101162-3,
2010101163-1,
2010101164-9,
2010101165-6,
2010101166-4,
2010101167-2,
2010101168-0,
2010101169-8,
2010101170-6,
2010101171-4,
2010101172-2,
2010101173-0,
2010101174-8,
2010101175-5,
2010101176-3,
2010101177-1,
2010101178-9,
2010101179-7,
2010101180-5,
2010101181-3,
2010101183-9,
2010101184-7,
2010101185-2,
2010101185-4,
2010101187-0,
2010101188-8,
2010101189-6,
2010101190-4,
2010101191-2,
2010101192-0,
2010101193-8,
2010101194-6,
2010101195-3,
2010101196-1,
2010101197-9,
2010101198-7,
2010101199-5,
2010101200-1,
2010101201-9,
2010101202-7,
2010101203-5,
2010101204-3,
2010101205-0,
2010101206-8,
2010101207-6,
2010101208-4,
2010101209-2,
2010101210-0,
2010101211-8,
2010101212-6,
2010101214-2,
2010101215-9,
2010101216-7,
2010101217-5,
2010101218-3,
2010101219-1,
2010101220-9,
2010101221-7,
2010101222-5,
2010101223-3,
2010101224-1,
2010101225-8,
2010101226-4,
2010101227-4,
2010101228-2,
2010101229-0,
2010101230-8,
2010101231-6,
2010101232-4,
2010101233-2,
2010101234-0,
2010101235-7,
2010101236-5,
2010101237-3,
2010101238-1,
2010101239-9,
2010101240-7,
2010101241-5,
2010101242-3,
2010101243-1,
2010101244-9,
2010101245-6,
2010101246-4,
2010101247-2,
2010101248-0,
2010101249-8,
2010101250-6,
2010101251-4,
2010101252-2,
2010101253-0,
2010101254-8,
2010101255-5,
2010101256-3,
2010101257-1,
2010101258-9,
2010101259-7,
2010101260-5,
2010101261-3,
2010101262-1,
2010101263-9,
2010101264-7,
2010101265-4,
2010101266-2,
2010101267-0,
2010101268-8,
2010101269-6,
2010101270-4,
2010101271-2,
2010101273-8,
2010101274-6,
2010101275-3,
2010101276-1,
2010101277-9,
2010101278-7,
2010101279-5,
2010101280-3,
2010101281-1,
2010101282-9,
2010101283-7,
2010101284-5,
2010101285-2,
2010101287-8,
2010101288-6,
2010101289-4,
2010101290-2,
2010101291-0,
2010101292-8,
2010101293-6,
2010101294-4,
2010101295-1,
2010101296-9,
2010101297-7,
2010101298-5,
2010101299-3,
2010101300-9,
2010101301-7,
2010101302-5,
2010101303-3,
2010101304-1,
2010101305-8,
2010101306-6,
2010101307-4,
2010101308-2,
2010101309-0,
2010101310-8,
2010101311-6,
2010101312-4,
2010101313-2,
2010101314-0,
2010101315-7,
2010101316-5,
2010101317-3,
2010101318-1,
2010101319-9,
2010101320-7,
2010101321-5,
2010101322-3,
2010101323-1,
2010101324-9,
2010101325-6,
2010101326-4,
2010101327-2,
2010101328-0,
2010101329-8,
2010101330-6,
2010101331-4,
2010101332-2,
2010101333-0,
2010101334-8,
2010101335-5,
2010101336-0,
2010101338-9,
2010101339-7,
2010101340-5,
2010101342-1,
2010101343-9,
2010101344-7,
2010101345-4,
2010101346-2,
2010101347-0,
2010101348-8,
2010101349-6,
2010101350-4,
2010101351-2,
2010101352-0,
2010101353-8,
2010101354-6,
2010101355-3,
2010101356-1,
2010101357-9,
2010101358-7,
2010101359-5,
2010101361-1,
2010101362-9,
2010101363-7,
2010101364-5,
2010101365-2,
2010101366-0,
2010101367-8,
2010101368-6,
2010101369-4,
2010101370-2,
2010101371-0,
2010101372-8,
2010101373-6,
2010101375-1,
2010101376-9,
2010101377-7,
2010101378-5,
2010101379-3,
2010101380-1,
2010101381-9,
2010101382-7,
2010101383-5,
2010101384-3,
2010101385-0,
2010101386-8,
2010101387-6,
2010101388-4,
2010101389-2,
2010101390-0,
2010101391-8,
2010101392-6,
2010101393-4,
2010101395-9,
2010101396-7,
2010101397-5,
2010101398-3,
2010101399-1,
2010101400-7,
2010101401-5,
2010101402-3,
2010101403-1,
2010101404-9,
2010101405-6,
2010101406-4,
2010101407-2,
2010101408-0,
2010101409-8,
2010101410-6,
2010101411-4,
2010101412-2,
2010101413-0,
2010101414-8,
2010101415-5,
2010101418-9,
2010101419-7,
2010101420-5,
2010101421-3,
2010101422-1,
2010101423-9,
2010101424-7,
2010101425-4,
2010101426-2,
2010101427-0,
2010101428-8,
2010101429-6,
2010101430-4,
2010101431-2,
2010101432-0,
2010101433-8,
2010101434-6,
2010101434-6.,
2010101435-3,
2010101436-1,
2010101437-9,
2010101438-7,
2010101439-5,
2010101440-3,
2010101441-1,
2010101442-9,
2010101444-5,
2010101445-2,
2010101446-0,
2010101447-8,
2010101448-6,
2010101449-4,
2010101450-2,
2010101451-0,
2010101452-8,
2010101453-6,
2010101454-4,
2010101455-1,
2010101456-9,
2010101457-7,
2010101458-5,
2010101459-3,
2010101460-1,
2010101461-9,
2010101462-7,
2010101463-5,
2010101465-0,
2010101467-6,
2010101468-4,
2010101469-2,
2010101470-0,
2010101471-8,
2010101472-6,
2010101473-4,
2010101475-9,
2010101476-7,
2010101477-5,
2010101478-3,
2010101480-9,
2010101481-7,
2010101482-5,
2010101483-3,
2010101484-1,
2010101486-6,
2010101487-4,
2010101488-2,
2010101489-0,
2010101491-6,
2010101492-4,
2010101493-2,
2010101494-0,
2010101495-7,
2010101496-5,
2010101497-3,
2010101498-1,
2010101499-9,
2010101500-4,
2010101501-2,
2010101502-0,
2010101503-8,
2010101504-6,
2010101505-3,
2010101506-1,
2010101507-9,
2010101508-7,
2010101509-5,
2010101510-3,
2010101511-1,
2010101512-9,
2010101513-7,
2010101514-5,
2010101515-2,
2010101516-0,
2010101516-3,
2010101517-8,
2010101518-6,
2010101519-4,
2010101520-2,
2010101521-0,
2010101522-8,
2010101523-6,
2010101524-4,
2010101525-1,
2010101526-9,
2010101527-7,
2010101529-3,
2010101530-1,
2010101531-9,
2010101532-7,
2010101533-5,
2010101534-3,
2010101535-0,
2010101536-8,
2010101537-6,
2010101538-4,
2010101539-2,
2010101540-0,
2010101541-8,
2010101542-6,
2010101543-4,
2010101544-2,
2010101545-9,
2010101546-7,
2010101547-5,
2010101548-3,
2010101549-1,
2010101550-9,
2010101551-7,
2010101552-5,
2010101554-1,
2010101555-8,
2010101556-6,
2010101557-4,
2010101558-2,
2010101559-0,
2010101560-8,
2010101561-6,
2010101563-2,
2010101564-0,
2010101565-7,
2010101569-9,
2010101570-7,
2010101571-5,
2010101572-3,
2010101573-1,
2010101574-9,
2010101575-6,
2010101576-4,
2010101577-2,
2010101578-0,
2010101579-8,
2010101580-6,
2010101581-4,
2010101582-2,
2010101583-0,
2010101584-8,
2010101585-5,
2010101586-3,
2010101587-1,
2010101588-9,
2010101590-5,
2010101591-3,
2010101592-1,
2010101593-9,
2010101594-7,
2010101595-4,
2010101596-2,
2010101597-0,
2010101598-8,
2010101599-6,
2010101600-2,
2010101601-0,
2010101602-8,
2010101603-6,
2010101604-4,
2010101605-1,
2010101607-7,
2010101608-5,
2010101609-3,
2010101610-1,
2010101611-9,
2010101612-7,
2010101613-5,
2010101614-3,
2010101615-0,
2010101616-8,
2010101617-6,
2010101618-4,
2010101619-2,
2010101620-0,
2010101621-8,
2010101622-6,
2010101623-4,
2010101624-2,
2010101625-9,
2010101626-7,
2010101627-5,
2010101630-9,
2010101631-7,
2010101632-5,
2010101634-1,
2010101636-6,
2010101637-4,
2010101638-2,
2010101639-0,
2010101640-8,
2010101641-6,
2010101642-4,
2010101643-2,
2010101644-0,
2010101645-7,
2010101646-5,
2010101647-3,
2010101648-1,
2010101649-9,
2010101650-7,
2010101651-5,
2010101652-3,
2010101653-1,
2010101654-9,
2010101655-6,
2010101656-4,
2010101657-2,
2010101658-0,
2010101659-8,
2010101660-6,
2010101661-4,
2010101662-2,
2010101663-0,
2010101664-8,
2010101665-5,
2010101666-3,
2010101667-1,
2010101668-9,
2010101669-7,
2010101670-5,
2010101671-3,
2010101672-1,
2010101673-9,
2010101674-7,
2010101675-4,
2010101676-2,
2010101677-0,
2010101678-8,
2010101679-6,
2010101680-4,
2010101681-2,
2010101682-0,
2010101683-8,
2010101684-6,
2010101686-1,
2010101687-9,
2010101688-7,
2010101689-5,
2010101690-3,
2010101691-1,
2010101692-9,
2010101693-7,
2010101694-5,
2010101695-2,
2010101696-0,
2010101697-8,
2010101699-4,
2010101700-0,
2010101701-8,
2010101702-6,
2010101703-4,
2010101704-2,
2010101706-7,
2010101707-5,
2010101709-1,
2010101710-9,
2010101711-7,
2010101712-5,
2010101713-3,
2010101714-1,
2010101715-8,
2010101716-6,
2010101717-4,
2010101718-2,
2010101719-0,
2010101720-8,
2010101721-6,
2010101722-4,
2010101723-2,
2010101724-0,
2010101725-7,
2010101726-5,
2010101727-3,
2010101728-1,
2010101729-9,
2010101731-5,
2010101732-3,
2010101733-1,
2010101734-9,
2010101735-6,
2010101736-4,
2010101737-2,
2010101738-0,
2010101739-8,
2010101740-6,
2010101742-2,
2010101743-0,
2010101744-8,
2010101745-5,
2010101746-3,
2010101747-1,
2010101749-7,
2010101750-5,
2010101751-3,
2010101752-1,
2010101753-9,
2010101754-7,
2010101755-4,
2010101756-2,
2010101757-0,
2010101758-8,
2010101759-6,
2010101760-4,
2010101761-2,
2010101762-0,
2010101763-8,
2010101764-6,
2010101765-3,
2010101766-1,
2010101768-7,
2010101769-5,
2010101770-3,
2010101771-1,
2010101772-9,
2010101773-7,
2010101774-5,
